																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.165	15.3		2.165	18.7		2.165	14.5		2.165	14.1		2.165	14.9		2.165	15.2
2.162	15.3		2.162	18.7		2.162	14.5		2.162	14.1		2.162	14.9		2.162	15.2
2.159	15.3		2.159	18.7		2.159	14.5		2.159	14.1		2.159	14.9		2.159	15.2
2.157	15.3		2.157	18.7		2.157	14.5		2.157	14.1		2.157	14.9		2.157	15.2
2.154	15.3		2.154	18.7		2.154	14.5		2.154	14.1		2.154	14.9		2.154	15.2
2.151	15.3		2.151	18.7		2.151	14.5		2.151	14.1		2.151	14.9		2.151	15.2
2.149	15.3		2.149	18.7		2.149	14.5		2.149	14.1		2.149	14.9		2.149	15.2
2.146	15.3		2.146	18.7		2.146	14.5		2.146	14.2		2.146	14.9		2.146	15.2
2.143	15.3		2.143	18.7		2.143	14.5		2.143	14.2		2.143	15.0		2.143	15.2
2.141	15.3		2.141	18.7		2.141	14.5		2.141	14.2		2.141	15.0		2.141	15.2
2.138	15.3		2.138	18.7		2.138	14.5		2.138	14.2		2.138	15.0		2.138	15.2
2.135	15.3		2.135	18.8		2.135	14.5		2.135	14.2		2.135	15.0		2.135	15.2
2.133	15.3		2.133	18.8		2.133	14.5		2.133	14.2		2.133	15.0		2.133	15.2
2.130	15.3		2.130	18.8		2.130	14.5		2.130	14.2		2.130	15.0		2.130	15.2
2.127	15.3		2.127	18.8		2.127	14.5		2.127	14.2		2.127	15.0		2.127	15.2
2.125	15.3		2.125	18.8		2.125	14.5		2.125	14.2		2.125	15.0		2.125	15.2
2.122	15.3		2.122	18.8		2.122	14.5		2.122	14.2		2.122	15.0		2.122	15.2
2.119	15.3		2.119	18.8		2.119	14.5		2.119	14.2		2.119	15.0		2.119	15.3
2.117	15.3		2.117	18.8		2.117	14.5		2.117	14.2		2.117	15.0		2.117	15.3
2.114	15.3		2.114	18.8		2.114	14.5		2.114	14.2		2.114	15.0		2.114	15.3
